fat,len,wid,slat,slon
0,0.33,170,31.1834,-90.2059
0,0.36,50,44.71,-97.91
0,13.86,100,32.2848,-94.658
0,3.76,100,41.1363,-73.5031
0,0.1,10,40.08,-88.78
0,0.1,10,48.8,-98.43
0,0.9,50,32.49,-100.46
0,0.46,50,30.9667,-95.9702
0,0.5,30,30.82,-92.67
0,0.17,150,38.856,-98.854
0,0.94,150,33.3025,-84.385
0,2.98,50,47.63,-97.57
0,0.1,0,37.25,-92.78
0,0.5,50,35.2445,-97.6164
0,3.29,250,45.65,-88.5253
0,12.0,350,34.4,-82.13
0,0.2,100,30.32,-97.42
0,5.06,630,34.7903,-83.784
0,12.0,200,43.35,-112.12
0,17.2,1175,33.8921,-86.5409
0,0.1,20,42.18,-100.47
0,5.16,100,45.7206,-93.5155
0,0.5,20,41.33,-101.75
0,3.31,100,44.566,-92.105
0,0.71,50,36.38,-87.54
0,10.59,75,37.1759,-88.7551
0,13.49,75,32.0002,-85.0653
0,1.6,100,27.8766,-82.5025
2,52.86,800,35.0164,-79.1338
0,6.0,440,34.62,-82.8
0,1.23,75,37.5125,-104.645
0,0.46,120,32.757,-96.889
0,0.2,80,38.85,-91.92
0,0.54,225,38.247,-87.2612
0,1.75,160,33.7,-105.381
0,1.0,100,38.97,-77.82
0,0.1,10,40.43,-104.25
0,0.32,202,30.4808,-92.5688
0,0.3,100,36.91,-102.04
0,25.0,150,42.8,-73.27
0,0.2,20,37.47,-87.9
0,7.0,20,30.37,-92.48
0,12.46,40,30.6496,-91.1972
0,17.06,100,40.528,-86.4309
0,0.1,30,34.62,-100.43
0,3.75,100,37.1961,-93.8606
0,3.0,100,36.253,-97.385
0,0.1,20,30.17,-85.67
0,1.93,100,38.299,-86.9336
0,0.1,20,38.25,-101.75
0,4.67,100,41.4045,-74.2924
0,2.3,450,36.3613,-95.4017
0,0.5,50,34.3,-84.12
0,0.3,50,36.15,-76.43
0,2.0,30,37.92,-84.87
0,2.8,20,35.64,-97.58
1,0.1,20,27.18,-80.92
0,1.3,50,33.95,-86.08
0,0.1,30,40.83,-97.2
0,1.54,200,39.4599,-102.1996
0,0.9,25,32.73,-94.03
0,0.11,120,45.6078,-122.8707
0,1.0,50,26.2,-98.23
0,34.99,2175,33.8453,-85.9472
0,4.0,75,41.03,-80.53
0,0.01,10,30.439,-94.6714
0,1.0,50,32.35,-91.03
0,0.5,30,47.97,-101.85
0,2.0,300,36.77,-101.07
0,0.01,20,39.022,-97.915
0,0.55,50,35.8641,-100.0027
0,9.6,700,35.5862,-94.4641
0,0.93,100,34.985,-86.2552
0,0.54,60,42.3414,-90.3187
0,0.3,30,28.05,-81.82
0,9.4,880,40.32,-89.35
0,0.1,40,37.7952,-93.0516
0,5.4,150,32.43,-86.72
0,2.6,150,31.97,-94.0
0,1.23,100,37.6413,-87.5314
0,0.5,100,40.23,-86.87
0,5.3,300,43.24,-84.21
0,0.7,100,44.53,-97.55
0,0.1,50,42.0,-89.99
0,0.81,150,40.8227,-86.5949
0,0.82,100,35.553,-77.375
0,15.0,50,46.62,-99.58
0,2.0,100,38.08,-100.13
0,1.0,10,30.32,-92.95
7,72.13,1760,32.6152,-88.0543
0,0.1,23,34.6,-99.88
0,0.1,23,31.5,-100.48
0,0.2,30,25.97,-81.73
0,0.2,50,32.7,-88.73
0,5.0,400,41.28,-97.68
0,0.5,110,38.08,-97.38
0,1.7,75,37.19,-99.54
0,5.34,30,46.63,-103.44
0,0.5,50,44.58,-93.38
0,12.83,150,37.43,-98.64
0,0.08,50,46.648,-68.283
0,2.0,0,31.37,-100.32
0,0.1,50,35.67,-102.93
0,4.0,440,36.67,-93.98
0,0.2,30,33.03,-79.62
0,9.9,100,34.8586,-85.5323
0,0.4,50,39.363,-90.9018
0,2.45,75,38.096,-77.539
0,1.0,110,38.67,-98.77
0,0.88,100,38.03,-78.19
0,5.55,700,40.7407,-97.3808
0,2.4,40,35.8202,-83.1319
0,0.79,300,31.8462,-101.355
0,0.8,10,27.88,-81.77
0,6.52,20,34.69,-87.62
0,7.02,100,44.9294,-91.7668
0,2.3,30,37.47,-100.62
0,0.39,100,44.8967,-71.5081
0,0.3,20,35.72,-81.87
0,0.1,30,28.6179,-96.6423
0,6.99,1000,40.5851,-94.7771
0,3.4,25,33.02,-93.3
0,0.5,30,42.33,-110.2
0,8.11,500,32.7503,-89.4741
0,0.1,30,34.32,-100.05
0,14.32,100,31.57,-86.375
0,0.5,50,28.44,-97.53
0,0.15,30,39.95,-83.76
0,3.6,25,30.7811,-90.5375
0,11.74,448,33.42,-82.61
0,2.71,150,41.4523,-90.7217
0,0.0,0,36.68,-99.93
0,0.1,23,34.57,-99.88
0,3.0,83,34.47,-80.35
0,0.1,30,36.02,-96.48
0,0.73,50,38.378,-98.3727
0,2.0,220,40.4,-88.57
0,15.38,400,47.55,-96.02
0,1.57,25,44.55,-90.2
0,0.1,30,36.63,-95.7
1,2.0,500,31.0,-88.23
0,10.0,75,46.75,-95.62
0,0.1,23,34.07,-96.78
0,0.25,50,40.3012,-86.9224
0,0.1,50,36.08,-94.62
0,0.1,10,44.7348,-122.9666
2,4.6,155,35.1109,-84.7264
0,1.54,40,38.5276,-118.6
0,10.1,300,41.07,-73.87
0,1.0,30,31.77,-100.92
0,0.2,25,42.5,-94.52
0,0.5,60,31.88,-104.65
0,20.16,800,32.8455,-87.1709
0,4.0,440,34.1,-80.3
0,0.5,30,38.98,-79.12
0,0.5,50,35.65,-88.4
0,0.1,50,39.1,-108.45
0,3.0,75,31.2893,-86.0359
0,0.1,30,36.93,-97.35
0,3.03,100,43.65,-95.84
0,0.5,10,39.2,-101.64
0,0.1,20,29.9302,-95.5648
0,0.3,10,44.98,-97.08
0,14.35,100,39.25,-97.36
0,0.7,50,34.93,-96.694
0,2.9,600,36.1189,-94.9665
0,0.39,50,48.8522,-99.5879
0,0.1,25,40.35,-95.41
0,4.35,100,45.37,-93.84
0,1.5,100,31.65,-93.23
0,11.65,200,44.3206,-104.287
0,8.0,200,37.75,-103.43
0,0.14,50,37.2268,-96.8084
0,29.0,500,39.45,-92.18
0,9.0,50,31.57,-91.95
0,0.39,50,34.5391,-78.1793
0,14.6,1300,33.7993,-86.5395
0,0.1,50,39.73,-103.9
0,0.1,25,41.56,-104.98
0,0.61,125,33.2551,-80.6976
0,0.3,40,42.42,-91.73
0,0.83,100,28.31,-82.33
0,5.0,200,37.42,-95.35
0,2.0,13,30.73,-81.53
0,9.0,250,40.2,-90.15
0,3.0,300,47.49,-97.1
0,0.1,10,42.12,-91.1
0,0.2,30,36.275,-99.571
0,6.0,50,34.82,-79.58
0,0.21,40,35.605,-77.817
0,0.1,0,36.52,-98.02
0,1.96,50,35.9859,-90.3062
0,0.1,20,32.78,-100.53
0,17.0,700,39.62,-86.1
0,1.5,400,41.53,-97.65
0,10.83,200,36.7787,-94.6184
0,24.49,470,32.0836,-88.5246
0,1.16,20,47.82,-97.52
0,1.0,400,36.13,-87.0
0,0.01,50,40.9156,-98.1455
0,0.1,30,28.92,-82.58
0,2.0,300,47.63,-96.4411
0,7.2,700,35.6913,-95.0443
0,6.0,75,31.92,-98.98
0,16.0,130,38.72,-88.38
0,3.2,60,33.4826,-81.0645
0,0.2,40,26.17,-97.98
0,0.3,20,38.72,-102.47
0,0.5,100,31.38,-84.55
0,2.37,25,33.05,-90.23
0,1.64,10,45.353,-101.88
0,0.1,50,40.17,-103.8
0,5.0,100,36.67,-92.0
0,8.0,250,35.13,-92.15
0,2.53,100,36.1673,-86.3412
0,1.0,75,37.02,-93.21
0,6.0,75,32.87,-81.12
0,0.1,30,41.15,-103.57
0,0.87,75,38.7211,-83.8444
0,0.5,73,34.67,-102.32
0,0.1,50,37.05,-87.5
0,2.0,20,29.78,-94.23
0,0.1,50,38.9,-103.87
0,1.5,130,40.85,-107.35
0,2.0,100,38.72,-90.13
0,0.27,75,37.3139,-96.5034
0,0.1,50,43.13,-96.57
0,0.1,50,39.73,-102.93
0,1.64,100,33.3375,-84.412
0,0.1,10,41.73,-105.5
0,0.1,10,41.97,-98.55
0,0.2,10,41.5,-99.05
0,1.27,50,28.6411,-99.8698
0,0.1,23,34.95,-83.75
0,5.0,400,45.3,-93.93
0,3.0,60,43.41,-112.85
0,0.1,20,41.78,-96.32
0,5.0,100,35.57,-90.72
0,1.0,0,31.83,-95.85
0,6.0,50,39.42,-87.95
0,1.0,100,39.43,-76.37
0,0.06,10,36.66,-100.72
0,0.07,100,35.16,-81.711
0,0.2,23,29.4,-95.83
0,0.1,40,44.3996,-71.22
1,13.57,880,44.9597,-93.3472
0,2.43,75,31.38,-85.65
0,5.34,200,31.6919,-90.5363
0,0.5,20,40.98,-98.03
0,0.1,20,42.92,-101.996
0,2.7,100,30.23,-85.68
0,6.0,25,48.83,-99.6
0,0.61,60,32.6385,-83.479
0,0.8,350,42.339,-72.2267
0,1.11,50,35.405,-81.48
0,1.62,100,30.8785,-85.5282
13,26.03,450,28.96,-81.59
